SIGLA|DISCIPLINA|T|P|I|RECOMENDAÇÃO
ESZB028-17|Métodos de Elementos Finitos Aplicados a Sistemas Biomédicos|2|3|5|Modelagem de Sistemas Dinâmicos II
NHZ3041-15|Métodos de Formação de Imagem e de Inspeção Nuclear|2|2|5|Introdução à Física Nuclear
MCZA014-17|Métodos de Otimização|4|0|4|Programação Matemática
ESHP024-14|Métodos de Pesquisa em Políticas Públicas|4|0|4|Não há
ESHT010-17|Métodos de Planejamento|3|1|4|Não há
ESZU014-17|Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental|1|1|4|Métodos Quantitativos para Planejamento Estratégico
ESZP027-13|Métodos e Técnicas Aplicadas às Políticas Públicas Ambientais|2|2|4|Não há
ESZP028-13|Métodos e Técnicas Aplicadas às Políticas Públicas Urbanas|2|2|4|Não há
ESHT011-17|Métodos e Técnicas de Análise de Informação para o Planejamento|3|1|4|Introdução à Inferência Estatística
ESZC029-17|Métodos Empíricos para Avaliação de Políticas Públicas|4|0|4|Econometria I; Econometria II
ESTO017-17|Métodos Experimentais em Engenharia|2|2|4|Introdução às Equações Diferenciais Ordinárias; Introdução à Probabilidade e à Estatística
ESTB031-18|Métodos Matemáticos Aplicados a Sistemas Biomédicos|6|0|4|Funções de Uma Variável; Introdução às Equações Diferenciais Ordinárias; Álgebra Linear
MCZB023-17|Métodos Numéricos em EDO’s|2|2|4|Introdução às Equações Diferenciais Ordinárias
MCZB017-17|Métodos Numéricos em EDP’s|2|2|4|Álgebra Linear; Cálculo Numérico
NHZ2097-16|Métodos para Produção de Filosofia|4|0|4|Não há
